date,mean_consumption,median_consumption,std_consumption,day,holiday
2013-05-09,8.678786525505293,7.072,6.680755456491208,3,0
2013-05-10,8.573899133782483,6.98,6.746137734133996,4,0
2013-05-11,9.263207852193995,7.4830000000000005,7.344007132655098,5,0
2013-05-12,9.792716320246344,7.9485,7.74693495693112,6,0
2013-05-13,8.803940508278783,7.129,7.123247812950352,0,0
2013-05-14,9.274041578440809,7.533,7.5392430431989705,1,0
2013-05-15,9.247640615976902,7.338,7.739968123360782,2,0
2013-05-16,8.84108164837281,7.105,7.197844761335045,3,0
2013-05-17,9.212083782742681,7.395,7.688492617230503,4,0
2013-05-18,9.149423180592992,7.3405000000000005,7.530318894928688,5,0
2013-05-19,9.22433930290776,7.622,7.056783395309669,6,0
2013-05-20,9.008936825885979,7.349,7.201461765440282,0,0
2013-05-21,8.759405467847516,7.0845,7.150553229787524,1,0
2013-05-22,8.824519738108993,7.101,7.130953819997745,2,0
2013-05-23,8.88761599229287,7.028499999999999,7.444107309782639,3,0
2013-05-24,9.542647409974967,7.512,8.193401798652967,4,0
2013-05-25,9.087806662815328,7.202,7.581617005006939,5,0
2013-05-26,8.596081070672058,6.998,6.7449186445033416,6,0
2013-05-27,8.55479876757173,7.021,6.599192147246899,0,1
2013-05-28,8.97769876733436,7.311,7.177964328602616,1,0
2013-05-29,9.096935117443204,7.3675,7.355739918429054,2,0
2013-05-30,9.035967064714946,7.268,7.439943246979472,3,0
2013-05-31,8.425985364914307,6.825,6.695939600550722,4,0
2013-06-01,8.478070672058541,7.016,6.375674740253154,5,0
2013-06-02,8.735203621652861,7.246,6.4810828823503295,6,0
2013-06-03,8.117953389830507,6.699999999999999,6.246791803262829,0,0
2013-06-04,8.018478043143297,6.624499999999999,6.390318297492435,1,0
2013-06-05,8.015464560862867,6.603,6.369776083065048,2,0
2013-06-06,7.969745184899846,6.5305,6.185438999382326,3,0
2013-06-07,8.060701713845562,6.658,6.369886669901987,4,0
2013-06-08,8.274283513097073,6.791,6.333359509691217,5,0
2013-06-09,9.150658766859346,7.5405,7.079549915258429,6,0
2013-06-10,8.5702346250241,7.016,6.694270561578176,0,0
2013-06-11,8.469960485736314,6.9325,6.596121023638995,1,0
2013-06-12,8.659814536340852,7.051,6.720099516530088,2,0
2013-06-13,8.540416297437874,6.956,6.803748203940004,3,0
2013-06-14,8.201734874759152,6.6585,6.374328686183091,4,0
2013-06-15,8.646848111025443,7.1385000000000005,6.623491784473801,5,0
2013-06-16,8.829132780882636,7.267,6.840381259262743,6,0
2013-06-17,8.231752938909231,6.732,6.490964323751164,0,0
2013-06-18,8.209851387818041,6.724,6.396040012478207,1,0
2013-06-19,8.028350163808055,6.66,6.061636004721018,2,0
2013-06-20,8.193945451040863,6.7635000000000005,6.18440147097404,3,0
2013-06-21,8.076417694680032,6.66,6.324416339874566,4,0
2013-06-22,8.408303141260358,6.845,6.44342027710571,5,0
2013-06-23,8.997270150404937,7.4585,6.817237883255842,6,0
2013-06-24,8.419655671296297,6.947,6.692324330939658,0,0
2013-06-25,8.160916120323948,6.6965,6.372839523023672,1,0
2013-06-26,8.03320821283979,6.653,6.240743534152697,2,0
2013-06-27,8.096494314896898,6.652,6.2083122048383865,3,0
2013-06-28,8.285241904394757,6.7145,6.570175170396551,4,0
2013-06-29,8.113054955649826,6.707,6.2892878522297,5,0
2013-06-30,8.449777906304222,7.073,6.294495680635112,6,0
2013-07-01,8.116767302872566,6.738,6.132728809982889,0,0
2013-07-02,8.239142636854279,6.789,6.450134289912434,1,0
2013-07-03,8.192446886446886,6.763,6.407067427554782,2,0
2013-07-04,8.018705882352942,6.636,6.195292736236753,3,0
2013-07-05,7.961683002122323,6.59,6.131377365671189,4,0
2013-07-06,7.991698011199073,6.706,5.981917788557722,5,0
2013-07-07,8.344410390112014,6.9670000000000005,6.131908910604489,6,0
2013-07-08,7.976329150579151,6.6295,5.971621809789845,0,0
2013-07-09,7.861853145503667,6.522,5.863112789349181,1,0
2013-07-10,7.850709764569664,6.5435,5.901301174856019,2,0
2013-07-11,7.766843972999037,6.476,5.854132398357168,3,0
2013-07-12,7.809857170430419,6.528,5.864891546432071,4,0
2013-07-13,7.945951756078734,6.6675,5.88412576055423,5,0
2013-07-14,8.344399613899613,6.9745,6.153238278436666,6,0
2013-07-15,8.077104653407993,6.803,6.061439795160784,0,0
2013-07-16,8.035647172360548,6.778,5.947832672706563,1,0
