date,air_temperature_mean,dewpoint_mean,rltv_hum_mean,air_temperature_min,rltv_hum_min,air_temperature_max,prcp_count,day,holiday,mean_consumption,median_consumption,std_consumption
2013-01-31,8.854166666666666,4.2375,73.21249999999999,7.1,57.0,10.5,6,3,0,11.26152924201616,8.682,9.923118601076588
2013-02-01,5.5375000000000005,3.4,86.56666666666666,2.3,73.8,8.1,8,4,0,11.5348708373436,8.799,10.219429907290396
2013-02-02,3.779166666666667,-1.2583333333333333,70.10000000000001,-1.5,54.1,5.5,0,5,0,12.319870502212815,9.319,10.84026164902367
2013-02-03,4.383333333333334,2.1333333333333333,84.5625,-2.2,75.7,9.3,0,6,0,13.270509426702576,10.0815,11.624933284412707
2013-02-04,9.0125,3.466666666666667,69.37916666666666,6.1,49.3,10.6,0,0,0,11.58379007119492,8.88,10.203794185809912
2013-02-05,4.604166666666667,-0.5208333333333334,70.4375,2.1,50.1,6.3,5,1,0,11.956602270540696,9.087,10.9133376473938
2013-02-06,4.633333333333334,0.2166666666666666,73.22500000000001,2.6,60.8,5.9,4,2,0,12.183405041370024,9.224,11.177743593475872
2013-02-07,2.9791666666666665,-1.6958333333333335,71.70833333333333,0.9,55.9,5.6,4,3,0,12.19258937848759,9.028,11.485863346229715
2013-02-08,2.9958333333333336,-0.1999999999999999,80.14166666666667,-0.6,59.2,5.7,3,4,0,12.048108908985952,8.912,11.384064242388062
2013-02-09,2.620833333333333,0.8125,88.08333333333333,0.5,77.8,3.5,3,5,0,12.787650885296385,9.514,11.641409090205771
2013-02-10,3.3208333333333333,2.475,94.12083333333334,0.9,91.3,5.1,22,6,0,13.53352001539646,10.231,11.880135714112852
2013-02-11,1.25,0.1708333333333333,92.48333333333332,0.5,88.9,2.0,15,0,0,12.981496055416589,9.539,12.373676874555676
2013-02-12,1.6333333333333335,-2.245833333333333,75.05416666666666,1.1,61.9,2.1,1,1,0,12.877153742543776,9.384,12.5640451188114
2013-02-13,1.7,-2.316666666666667,74.04166666666667,0.5,51.5,3.4,0,2,0,12.629664357197845,9.217,12.150254130040617
2013-02-14,7.983333333333333,4.675,80.77083333333333,4.4,59.9,11.4,4,3,0,11.906087391722812,8.881,11.19707511312715
2013-02-15,4.620833333333333,1.7208333333333332,83.10416666666667,0.0,58.6,10.2,0,4,0,11.50290858352579,8.692,10.586603047284123
2013-02-16,5.704166666666667,1.7208333333333332,77.49166666666666,1.9,47.2,10.8,0,5,0,11.512958814472672,8.862,10.095122976073997
2013-02-17,3.7708333333333335,0.7333333333333334,82.6875,-1.7,44.8,10.8,0,6,0,12.01819734308818,9.3465,10.80362691735358
2013-02-18,3.9,1.0958333333333334,83.14583333333333,-0.3,52.0,9.1,0,0,0,11.50572291706754,8.72,10.99939790388891
2013-02-19,2.6666666666666665,-0.8791666666666668,79.47083333333333,-3.4,42.8,11.5,0,1,0,11.339133923417355,8.53,10.673732726400106
2013-02-20,3.208333333333333,-0.6333333333333333,76.98333333333333,1.9,60.5,5.3,2,2,0,11.66182345013477,8.778500000000001,10.829517778545345
2013-02-21,1.5625,-5.575,56.0625,0.9,49.0,2.3,0,3,0,12.732020400307928,9.317,12.230927368680897
2013-02-22,1.0125,-5.858333333333333,56.958333333333336,0.4,49.3,1.8,0,4,0,12.808292940950183,9.171,12.69213415843604
2013-02-23,1.0333333333333334,-4.354166666666667,64.90833333333333,0.2,52.1,2.1,0,5,0,13.207694823936889,9.479,12.911960205124563
2013-02-24,1.3208333333333333,-2.9791666666666665,71.66666666666667,0.6,63.7,2.2,0,6,0,13.943720361816782,10.316,13.202879125393302
2013-02-25,3.141666666666667,0.2791666666666667,81.55416666666666,1.5,72.4,4.4,0,0,0,12.976138514813387,9.404,12.783226735931482
2013-02-26,3.9416666666666655,2.466666666666667,90.26666666666668,2.8,85.6,5.0,2,1,0,12.50846267795306,9.056,12.097930594815752
2013-02-27,3.725,0.65,81.06666666666666,2.1,64.1,6.3,0,2,0,12.023891668270156,8.781,11.498976502702394
2013-02-28,4.445833333333334,0.7208333333333333,77.125,2.0,63.5,8.4,0,3,0,11.922651019622933,8.751000000000001,11.378102297925157
2013-03-01,4.695833333333334,0.7625000000000001,76.69583333333334,2.5,59.9,6.6,3,4,0,11.999548287803002,8.7135,11.384830736944078
2013-03-02,2.6833333333333336,-1.3916666666666666,74.69166666666666,-2.2,66.1,8.4,0,5,0,12.258977871849144,9.114,11.52034510956619
2013-03-03,2.620833333333333,-0.3625,81.2625,-3.5,59.0,8.9,2,6,0,12.679468064640249,9.452,11.620177908989152
2013-03-04,4.633333333333334,0.7833333333333333,77.29166666666667,1.8,54.6,9.2,14,0,0,11.41321046556368,8.507,10.650118436808972
2013-03-05,6.641666666666667,2.466666666666667,77.08333333333333,-1.3,46.6,16.5,0,1,0,10.804019434289014,8.183,9.887106127069943
2013-03-06,9.916666666666666,5.1875,72.84166666666667,6.0,60.6,13.4,0,2,0,10.629245094267024,8.2195,9.236023411611336
2013-03-07,8.754166666666666,7.695833333333333,93.23333333333332,7.6,86.7,10.2,7,3,0,10.86326649990379,8.443,9.485657279768946
2013-03-08,9.366666666666667,8.691666666666666,95.68333333333334,8.3,94.6,10.3,0,4,0,10.878317490860113,8.404,9.488293187544636
2013-03-09,6.158333333333334,4.516666666666667,89.30833333333334,3.8,81.8,8.1,0,5,0,11.531708485664806,8.881,10.063928572444729
2013-03-10,2.558333333333333,-0.6833333333333332,78.89583333333333,1.1,70.1,3.6,0,6,0,12.780523562223504,9.626,11.419434848667414
2013-03-11,-0.1833333333333333,-5.333333333333333,65.08749999999999,-1.5,52.7,1.1,0,0,0,13.054427389882669,9.366,13.198747857703134
2013-03-12,0.9916666666666668,-6.020833333333333,58.15833333333333,-1.7,39.9,3.7,2,1,0,12.811234852856318,9.071,13.24566349644267
2013-03-13,2.9125,-2.25,69.7375,0.4,48.1,6.0,0,2,0,12.087762985763757,8.7775,11.910504626422494
2013-03-14,2.1666666666666665,-3.6625,67.58333333333333,-4.0,37.9,7.1,0,3,0,11.742575028857251,8.7125,11.4295069663562
2013-03-15,5.920833333333333,2.6875,80.2,2.8,60.3,8.9,0,4,0,11.557921138680516,8.622,10.761405105812964
2013-03-16,6.720833333333334,4.470833333333333,85.64166666666667,5.4,77.8,8.1,0,5,0,12.14004097729896,9.077,10.948894507745957
2013-03-17,4.654166666666667,3.0083333333333333,89.11666666666667,0.9,79.2,7.1,9,6,0,12.548649480569448,9.4885,10.934440153388302
2013-03-18,2.5916666666666663,1.4416666666666669,91.77083333333331,-2.2,73.8,6.8,2,0,0,11.779200500288628,8.893,10.822672353644526
2013-03-19,4.65,1.8208333333333333,82.45416666666667,2.2,59.0,8.3,0,1,0,11.350910350134669,8.4785,10.520186704462647
2013-03-20,4.075,1.5416666666666667,83.65833333333333,2.3,73.1,6.2,0,2,0,11.60856147777564,8.643,10.661204197836254
2013-03-21,4.0125,-0.1166666666666666,75.08333333333333,0.0,61.4,7.1,0,3,0,11.467851481338975,8.4915,10.51066447241067
2013-03-22,3.7458333333333336,0.6333333333333333,80.22916666666667,2.6,71.4,4.9,0,4,0,12.020294536360138,8.897,11.472917505908264
2013-03-23,1.8,0.3916666666666666,90.45,1.1,86.3,3.4,0,5,0,13.368652751058098,9.6395,12.887238611490108
